#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)"
5000,10.000000000000009,-3381.514843008674,294.90854114572363
10000,19.999999999999794,-3288.7517720677024,298.77502054010165
15000,29.99999999999425,-3227.922718904174,295.5035976664805
20000,40.00000000000292,-3273.7590390659934,302.41354679346085
25000,50.00000000001514,-3154.1761695362693,289.5117063500159
30000,60.00000000002736,-3128.9505335308677,300.2986519165361
35000,70.00000000001826,-3306.311268470443,297.99650051545575
40000,79.99999999999496,-3231.6221209980613,302.74445659830144
45000,89.99999999997165,-3410.5702405192023,298.79013287782067
50000,99.99999999994834,-3388.2381874539024,306.72403011565024
55000,109.99999999992504,-3390.803440711654,303.5020501951697
60000,119.99999999990173,-3374.2046328999168,304.92009016008484
65000,129.99999999989262,-3111.027405879653,290.13686208775135
70000,139.99999999994037,-2996.4284302212363,292.8841422715912
75000,149.99999999998812,-3417.9247491575843,297.71282806106797
80000,160.00000000003587,-3430.329686901725,302.2187335541385
85000,170.00000000008362,-3252.132486007369,297.20855672274524
90000,180.00000000013137,-3327.2708851315147,301.38032464249136
95000,190.0000000001791,-3318.7077666737205,293.4944901083164
100000,200.00000000022686,-3150.9082037426597,292.45341388418154
105000,210.0000000002746,-3231.3518935658103,297.40396186785455
110000,220.00000000032236,-3479.3802319981223,295.5209053925918
115000,230.0000000003701,-3027.811504027999,292.4946419129383
120000,240.00000000041786,-3228.06060614363,293.58757705127164
125000,250.0000000004656,-3450.6302257992393,308.94746813082236
130000,260.00000000051335,-3323.7014013744956,300.56813789057026
135000,270.0000000005611,-3161.126516721404,292.1668556140257
140000,280.00000000060885,-3229.619649074233,293.5257066427213
145000,290.0000000006566,-3478.9695545651084,291.54046503333865
150000,300.00000000070435,-3523.0971533276206,303.06833675119
155000,310.0000000007521,-3373.380345008529,296.6588827720359
160000,320.00000000079984,-3503.2812978245383,296.5922091349488
165000,330.0000000008476,-3065.972414157546,291.1662073002731
170000,340.00000000089534,-3360.6779445625907,291.6781132029526
175000,350.0000000009431,-3282.3463746525413,310.2964009926656
180000,360.00000000099084,-3242.265335462249,306.489041410738
185000,370.0000000010386,-3239.933267257369,293.92335659020586
190000,380.00000000108633,-3381.205361745513,298.18834649795133
195000,390.0000000011341,-3221.194841048873,305.8132632208507
200000,400.00000000118183,-3279.494202277816,312.4670521193216
205000,410.0000000012296,-3038.7633184410697,286.2356068161796
210000,420.00000000127733,-3125.8871425606376,298.0499140857932
215000,430.0000000013251,-3440.619089982665,296.4698606990238
220000,440.0000000013728,-3319.523375651992,300.40061309230543
225000,450.0000000014206,-3452.0526734806663,313.5830877614585
230000,460.0000000014683,-3238.0892732359534,294.7319930071388
235000,470.00000000151607,-3438.4460064388877,304.65829555671377
240000,480.0000000015638,-3387.669790408767,293.43035823684556
245000,490.00000000161157,-3323.383227012313,301.0308712774973
250000,500.0000000016593,-3291.5921131588584,303.13977485730805
255000,510.00000000170706,-3514.7966441132194,298.9093054489455
260000,520.0000000015274,-3263.0164720036155,298.59295952760476
265000,530.0000000012909,-3019.248907230056,290.55513864330504
270000,540.0000000010544,-3340.4213663555747,298.3060642545345
275000,550.000000000818,-3244.9578561402923,300.7033123349038
280000,560.0000000005815,-3357.2529832340842,303.21366329738606
285000,570.000000000345,-3297.349204681075,300.1896561288317
290000,580.0000000001086,-2919.3819619633323,300.45999286238293
295000,589.9999999998721,-3360.9633704640037,306.73648892456583
300000,599.9999999996356,-3224.4376989819175,302.5995424736592
305000,609.9999999993992,-3332.6276651836997,294.3498856035113
310000,619.9999999991627,-3273.659781119979,298.5956623297631
315000,629.9999999989262,-3395.7575618244773,303.6747131102087
320000,639.9999999986898,-3502.1511553742057,304.16651869943996
325000,649.9999999984533,-3421.421295306838,299.4260349767396
330000,659.9999999982168,-3115.063492558158,300.20396076419627
335000,669.9999999979804,-3349.1644438721305,311.9350438812065
340000,679.9999999977439,-3156.70344605223,291.4026678259694
345000,689.9999999975074,-3205.230106733001,296.29445317973216
350000,699.999999997271,-3446.1690093495017,287.3811365600963
355000,709.9999999970345,-3177.2513693787223,299.54654835325357
360000,719.999999996798,-3127.0685316540366,307.4359694139116
365000,729.9999999965615,-3350.8021170117026,305.44351810714113
370000,739.9999999963251,-3213.627482078231,291.7537828196129
375000,749.9999999960886,-3225.7028748013145,301.7992696905813
380000,759.9999999958521,-3308.968451402343,298.23922338830596
385000,769.9999999956157,-3159.7326467253333,284.6608810803039
390000,779.9999999953792,-3277.1557380177146,299.1619475664168
395000,789.9999999951427,-3203.6889838196403,301.27497669350475
400000,799.9999999949063,-3155.8679267384177,291.8496546039182
405000,809.9999999946698,-3474.3237749554282,301.0721736913213
410000,819.9999999944333,-3382.0033766247398,295.21970150783835
415000,829.9999999941969,-3304.3894440151817,293.25183694194567
420000,839.9999999939604,-3362.026087901748,293.9006492321958
425000,849.9999999937239,-3354.3168832279807,298.97617122814256
430000,859.9999999934874,-3249.2465855099326,302.85552980349235
435000,869.999999993251,-3208.685068032897,297.71647247956565
440000,879.9999999930145,-3212.6439520336753,284.5698004166851
445000,889.999999992778,-3261.601249597228,311.6927477653705
450000,899.9999999925416,-3257.44137825743,301.5950309288679
455000,909.9999999923051,-3168.586348674453,300.13601641412106
460000,919.9999999920686,-3300.3722400881416,300.5408369427737
465000,929.9999999918322,-3124.634765527404,290.42740129536037
470000,939.9999999915957,-3158.8056807734138,301.8421058235341
475000,949.9999999913592,-3421.8152969099647,293.14581450969325
480000,959.9999999911228,-3286.717605731643,293.0780835158601
485000,969.9999999908863,-3304.3554331280357,287.8854471563889
490000,979.9999999906498,-3404.5446711994773,300.9850221878228
495000,989.9999999904134,-3398.079260013259,292.72480118602806
500000,999.9999999901769,-3486.672752998031,304.94121092745115
505000,1009.9999999899404,-3248.78369869963,297.5194724155589
510000,1019.999999989704,-3268.382099292434,295.46729624762406
515000,1029.9999999894676,-3226.709286115325,286.34536464366096
520000,1039.9999999892311,-3153.2278973080283,303.27131401788756
525000,1049.9999999889947,-3180.08590283171,284.6177975231785
530000,1059.9999999887582,-3049.6146594502097,303.396498525873
535000,1069.9999999885217,-3339.839718959487,304.3369732211035
540000,1079.9999999882853,-3197.586746356643,297.35095565845825
545000,1089.9999999880488,-3320.7400871731406,298.26813732362507
550000,1099.9999999878123,-3207.2272173382407,299.23697977798713
555000,1109.9999999875758,-3431.876215598739,283.6114502430321
560000,1119.9999999873394,-3400.7025457836753,302.1735979919736
565000,1129.999999987103,-3165.65062775389,297.9074673810925
570000,1139.9999999868664,-3109.2606364704734,290.1406815126166
575000,1149.99999998663,-3343.0605432011253,300.33259003188994
580000,1159.9999999863935,-3328.4935265995628,301.0366017662828
585000,1169.999999986157,-3449.0038714625007,298.0754651015168
590000,1179.9999999859206,-3362.52335419432,287.7754914117691
595000,1189.999999985684,-3334.1248449303275,297.2965995553991
600000,1199.9999999854476,-3378.3038679577476,302.28858122222715
605000,1209.9999999852112,-3256.9206539608604,297.1347898480368
610000,1219.9999999849747,-3309.8592702366477,296.58155706435895
615000,1229.9999999847382,-3252.8952728726035,308.2062615758388
620000,1239.9999999845018,-3478.345035872615,300.94179443505476
625000,1249.9999999842653,-3520.222772262252,292.34875917533674
630000,1259.9999999840288,-3671.605438254035,298.2932905473308
635000,1269.9999999837923,-3161.070046088851,302.6878629051928
640000,1279.9999999835559,-3230.6599706627494,302.45362258691983
645000,1289.9999999833194,-3414.22435488478,293.3847963780061
650000,1299.999999983083,-3354.652095458663,299.43338282300425
655000,1309.9999999828465,-3311.130133531249,294.42433626757565
660000,1319.99999998261,-3411.1325270153648,308.10295811721545
665000,1329.9999999823735,-3476.476550958312,291.43916172129497
670000,1339.999999982137,-3248.4155098415977,299.3078553371393
675000,1349.9999999819006,-3210.1583173491126,302.5898560624734
680000,1359.9999999816641,-3551.3169608630305,297.98808147833154
685000,1369.9999999814277,-3410.7656501747733,296.17063930956897
690000,1379.9999999811912,-3340.0437132336265,295.245785342896
695000,1389.9999999809547,-3316.5618995644218,296.25919998929163
700000,1399.9999999807183,-3269.568670890487,297.13471138447335
705000,1409.9999999804818,-3380.1386357761985,295.6568326281431
710000,1419.9999999802453,-3305.7956239201194,298.8362917129012
715000,1429.9999999800089,-3182.928932807601,286.61067841386733
720000,1439.9999999797724,-3342.8710128285056,296.816270711033
725000,1449.999999979536,-3194.3557888485557,313.4663348411073
730000,1459.9999999792994,-3485.3907956101066,300.87624944728435
735000,1469.999999979063,-3396.2604595638877,300.3820899230452
740000,1479.9999999788265,-3697.950287959731,299.010204746614
745000,1489.99999997859,-3242.638910911239,297.87493605895787
750000,1499.9999999783536,-3240.9299551464683,306.2181724714786
755000,1509.999999978117,-3483.623527667678,287.8991590690263
760000,1519.9999999778806,-3243.9242922283775,310.9561043337858
765000,1529.9999999776442,-3382.872572086013,298.7742219987609
770000,1539.9999999774077,-3445.95779862181,296.5092351136569
775000,1549.9999999771712,-3409.6941486813193,291.9457867031319
780000,1559.9999999769348,-3389.5157963253623,295.6260350089131
785000,1569.9999999766983,-3139.604414365447,293.3100246480148
790000,1579.9999999764618,-3169.545962951339,293.3884063866913
795000,1589.9999999762254,-3257.1344424702293,306.3808907352542
800000,1599.9999999759889,-3267.791072747863,302.4734177823709
805000,1609.9999999757524,-3445.5949985005027,288.43328557038706
810000,1619.999999975516,-3303.9410785652763,296.48278526966135
815000,1629.9999999752795,-3256.2815083481437,290.84725460599464
820000,1639.999999975043,-3384.2315088726646,302.3750300818567
825000,1649.9999999748065,-3485.045586249984,286.2238275465489
830000,1659.99999997457,-3299.919112346328,306.27070524501187
835000,1669.9999999743336,-3264.2082145430213,299.63100891039613
840000,1679.9999999740971,-3241.6557051159507,296.72727493626115
845000,1689.9999999738607,-3432.6101767040855,296.61964641916103
850000,1699.9999999736242,-3129.2893253780967,298.9984313089519
855000,1709.9999999733877,-3312.0980845905906,306.753960669625
860000,1719.9999999731513,-3199.618681094802,284.53590211570673
865000,1729.9999999729148,-3187.103680989898,304.5381685523815
870000,1739.9999999726783,-3437.3826114155418,289.3725643917376
875000,1749.9999999724419,-3149.4139721609718,296.3904929116914
880000,1759.9999999722054,-3093.2575050808555,293.4828223053817
885000,1769.999999971969,-3247.992634914077,303.4412597832063
890000,1779.9999999717324,-3361.797167203582,305.6779679758915
895000,1789.999999971496,-3258.350145003951,299.00599589419454
900000,1799.9999999712595,-3374.2796172119743,303.84661408360495
905000,1809.999999971023,-3405.294893584407,300.16568874339094
910000,1819.9999999707866,-3338.774702212966,304.26104619841345
915000,1829.99999997055,-3341.1185677267677,295.70584081447845
920000,1839.9999999703136,-3279.494207999862,291.5053172019649
925000,1849.9999999700772,-3424.6456076122886,303.7793475136975
930000,1859.9999999698407,-3327.534259936965,297.99479203120336
935000,1869.9999999696042,-3338.1424341417915,287.27573586818073
940000,1879.9999999693678,-3434.7285758473045,302.56149498943466
945000,1889.9999999691313,-3222.2611376263267,296.2080266230056
950000,1899.9999999688948,-3485.4149400211936,297.1826217351659
955000,1909.9999999686584,-3269.0714076973563,302.9808317872604
960000,1919.999999968422,-3345.0929113842612,296.19907954927095
965000,1929.9999999681854,-3194.2344414211875,306.9954699192136
970000,1939.999999967949,-3588.683189056075,300.727581677402
975000,1949.9999999677125,-3442.3556353069907,292.7739468771824
980000,1959.999999967476,-3104.1314527012473,291.4465288742522
985000,1969.9999999672395,-3353.860102794326,281.7249548852122
990000,1979.999999967003,-3136.502547881759,290.0656635884735
995000,1989.9999999667666,-3184.79937233702,296.65341543959494
1000000,1999.9999999665301,-3281.1642314411765,311.8411516225513
